Q2	x	z	ALL_lower	ALL	ALL_upper
1.866900000000000091e+03	1.000000000000000048e-04	3.499999999999999778e-01	-3.956399999999999674e-03	-1.306400000000000096e-03	-2.876900000000000052e-04
3.319900000000000091e+03	1.000000000000000048e-04	3.499999999999999778e-01	-3.918500000000000108e-03	-1.258299999999999957e-03	-2.897700000000000124e-04
5.903800000000000182e+03	1.000000000000000048e-04	3.499999999999999778e-01	-3.905699999999999797e-03	-1.215200000000000048e-03	-2.905000000000000139e-04
1.000000000000000000e+00	1.000000000000000048e-04	4.000000000000000222e-01	-1.326300000000000048e-02	-6.909900000000000070e-03	-3.077900000000000167e-03
1.049900000000000055e+00	1.000000000000000048e-04	4.000000000000000222e-01	-1.259900000000000082e-02	-6.529000000000000081e-03	-3.023000000000000079e-03
1.866900000000000004e+00	1.000000000000000048e-04	4.000000000000000222e-01	-7.790799999999999635e-03	-3.742899999999999960e-03	-1.272200000000000024e-03
3.319900000000000073e+00	1.000000000000000048e-04	4.000000000000000222e-01	-6.661700000000000434e-03	-3.105800000000000140e-03	-9.378599999999999957e-04
5.903800000000000381e+00	1.000000000000000048e-04	4.000000000000000222e-01	-6.021399999999999669e-03	-2.741599999999999853e-03	2.437600000000000175e-06
1.049900000000000055e+01	1.000000000000000048e-04	4.000000000000000222e-01	-4.961499999999999765e-03	-2.588899999999999882e-03	-6.658100000000000509e-05
1.866900000000000048e+01	1.000000000000000048e-04	4.000000000000000222e-01	-4.606899999999999711e-03	-2.346500000000000061e-03	-1.216700000000000057e-04
3.319899999999999807e+01	1.000000000000000048e-04	4.000000000000000222e-01	-4.747200000000000031e-03	-2.082800000000000103e-03	-1.612800000000000008e-04
5.903799999999999670e+01	1.000000000000000048e-04	4.000000000000000222e-01	-4.828299999999999779e-03	-1.944100000000000038e-03	-1.909000000000000052e-04
1.049899999999999949e+02	1.000000000000000048e-04	4.000000000000000222e-01	-4.838699999999999599e-03	-1.783099999999999919e-03	-2.132600000000000012e-04
1.866899999999999977e+02	1.000000000000000048e-04	4.000000000000000222e-01	-4.839999999999999684e-03	-1.602399999999999918e-03	-2.302500000000000130e-04
3.319900000000000091e+02	1.000000000000000048e-04	4.000000000000000222e-01	-4.372199999999999698e-03	-1.513000000000000022e-03	-2.427200000000000071e-04
5.903799999999999955e+02	1.000000000000000048e-04	4.000000000000000222e-01	-4.220800000000000246e-03	-1.438899999999999901e-03	-2.515600000000000106e-04
1.049900000000000091e+03	1.000000000000000048e-04	4.000000000000000222e-01	-4.086199999999999902e-03	-1.375099999999999977e-03	-2.580899999999999904e-04
1.866900000000000091e+03	1.000000000000000048e-04	4.000000000000000222e-01	-3.964800000000000095e-03	-1.319000000000000077e-03	-2.625600000000000069e-04
3.319900000000000091e+03	1.000000000000000048e-04	4.000000000000000222e-01	-3.904700000000000098e-03	-1.269500000000000012e-03	-2.652800000000000080e-04
5.903800000000000182e+03	1.000000000000000048e-04	4.000000000000000222e-01	-3.893199999999999873e-03	-1.225600000000000083e-03	-2.668899999999999875e-04
1.000000000000000000e+00	1.000000000000000048e-04	4.500000000000000111e-01	-1.295999999999999930e-02	-6.765400000000000406e-03	-3.223399999999999963e-03
1.049900000000000055e+00	1.000000000000000048e-04	4.500000000000000111e-01	-1.230700000000000023e-02	-6.388600000000000355e-03	-2.889200000000000188e-03
1.866900000000000004e+00	1.000000000000000048e-04	4.500000000000000111e-01	-7.705599999999999949e-03	-3.664399999999999949e-03	-1.208899999999999949e-03
3.319900000000000073e+00	1.000000000000000048e-04	4.500000000000000111e-01	-6.639400000000000163e-03	-3.262600000000000049e-03	-9.076699999999999612e-04
5.903800000000000381e+00	1.000000000000000048e-04	4.500000000000000111e-01	-6.030299999999999723e-03	-2.812499999999999896e-03	3.884199999999999844e-05
1.049900000000000055e+01	1.000000000000000048e-04	4.500000000000000111e-01	-4.997299999999999659e-03	-2.555200000000000093e-03	-3.101500000000000036e-05
1.866900000000000048e+01	1.000000000000000048e-04	4.500000000000000111e-01	-4.655199999999999963e-03	-2.357099999999999994e-03	-8.792900000000000466e-05
3.319899999999999807e+01	1.000000000000000048e-04	4.500000000000000111e-01	-4.775100000000000004e-03	-2.162499999999999926e-03	-1.289399999999999954e-04
5.903799999999999670e+01	1.000000000000000048e-04	4.500000000000000111e-01	-4.850300000000000097e-03	-2.019599999999999868e-03	-1.600200000000000027e-04
1.049899999999999949e+02	1.000000000000000048e-04	4.500000000000000111e-01	-4.867500000000000299e-03	-1.830100000000000086e-03	-1.842900000000000126e-04
1.866899999999999977e+02	1.000000000000000048e-04	4.500000000000000111e-01	-4.863899999999999994e-03	-1.644999999999999978e-03	-2.021500000000000076e-04
3.319900000000000091e+02	1.000000000000000048e-04	4.500000000000000111e-01	-4.741099999999999828e-03	-1.541099999999999892e-03	-2.158700000000000050e-04
5.903799999999999955e+02	1.000000000000000048e-04	4.500000000000000111e-01	-4.242400000000000337e-03	-1.464199999999999920e-03	-2.261499999999999947e-04
1.049900000000000091e+03	1.000000000000000048e-04	4.500000000000000111e-01	-4.105700000000000321e-03	-1.397900000000000097e-03	-2.337300000000000000e-04
1.866900000000000091e+03	1.000000000000000048e-04	4.500000000000000111e-01	-3.982600000000000202e-03	-1.339399999999999922e-03	-2.387599999999999976e-04
3.319900000000000091e+03	1.000000000000000048e-04	4.500000000000000111e-01	-3.896399999999999950e-03	-1.287799999999999969e-03	-2.424299999999999947e-04
